file,year,longitude,latitude,lr_shape,hr_shape,scale_h,channels,shape_ok,finite_ok,n_nonfinite,reflectance_ok,hr_min,hr_max,bands_ok,band_order_plausible,lr_matches_4x_avg_hr,lr_max_abs_err_vs_4x_avg,has_stored_metadata,valid
S2_2018_m121.08719_38.28348.npz,2018,-121.08719031190765,38.28347646088177,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013899999670684338,0.47824999690055847,True,True,True,0.0,True,True
S2_2018_m121.08737_38.28399.npz,2018,-121.0873709967376,38.28399321994887,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013899999670684338,0.47824999690055847,True,True,True,0.0,True,True
S2_2018_m121.08769_38.25925.npz,2018,-121.08768637428524,38.259251469980356,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.020349999889731407,0.45304998755455017,True,True,True,0.0,True,True
S2_2018_m121.08842_38.27878.npz,2018,-121.08841867241685,38.27878367804601,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012299999594688416,0.4729999899864197,True,True,True,0.0,True,True
S2_2018_m121.08859_38.14594.npz,2018,-121.08859340772393,38.14594019312008,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.015699999406933784,0.4830000102519989,True,True,True,0.0,True,True
S2_2018_m121.08864_38.11016.npz,2018,-121.08863687742667,38.11016441091264,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01600000075995922,0.4952000081539154,True,True,True,0.0,True,True
S2_2018_m121.08866_38.13484.npz,2018,-121.08865602053656,38.134836655627815,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017100000753998756,0.42080000042915344,True,True,True,0.0,True,True
S2_2018_m121.08867_38.14204.npz,2018,-121.08866536358408,38.142043480126326,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.015699999406933784,0.4514000117778778,True,True,True,0.0,True,True
S2_2018_m121.08978_38.30318.npz,2018,-121.08977509375909,38.30317618621715,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.02329999953508377,0.4603999853134155,True,True,True,0.0,True,True
S2_2018_m121.09005_38.29369.npz,2018,-121.09004556151645,38.29369290457277,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013000000268220901,0.483599990606308,True,True,True,0.0,True,True
S2_2018_m121.09040_38.29778.npz,2018,-121.09039820034054,38.29777810018816,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013000000268220901,0.483599990606308,True,True,True,0.0,True,True
S2_2018_m121.09078_38.07118.npz,2018,-121.09077890328625,38.07117603380106,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.014800000004470348,0.4747999906539917,True,True,True,0.0,True,True
S2_2018_m121.09114_38.13681.npz,2018,-121.09113537840045,38.136812853789316,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017100000753998756,0.4059999883174896,True,True,True,0.0,True,True
S2_2018_m121.09117_38.09383.npz,2018,-121.09116802424997,38.09383017551865,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.027400000020861626,0.484499990940094,True,True,True,0.0,True,True
S2_2018_m121.09127_38.14233.npz,2018,-121.09127105741142,38.142329698891544,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.020899999886751175,0.4514000117778778,True,True,True,0.0,True,True
S2_2018_m121.09134_38.13843.npz,2018,-121.0913428679954,38.1384329828176,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017100000753998756,0.41519999504089355,True,True,True,0.0,True,True
S2_2018_m121.09150_38.10402.npz,2018,-121.0915022594145,38.10401892359982,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01600000075995922,0.4952000081539154,True,True,True,0.0,True,True
S2_2018_m121.09164_38.10954.npz,2018,-121.09163790548907,38.10953578878031,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01600000075995922,0.4952000081539154,True,True,True,0.0,True,True
S2_2018_m121.09187_38.13278.npz,2018,-121.09187429157114,38.132776434382684,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017100000753998756,0.4431999921798706,True,True,True,0.0,True,True
S2_2018_m121.09190_38.29386.npz,2018,-121.09189770553613,38.29386041776298,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013000000268220901,0.483599990606308,True,True,True,0.0,True,True
S2_2018_m121.09192_38.10726.npz,2018,-121.09191707907955,38.107259191847646,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01600000075995922,0.4952000081539154,True,True,True,0.0,True,True
S2_2018_m121.09193_38.08064.npz,2018,-121.09193271151945,38.080638496024356,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008700000122189522,0.462799996137619,True,True,True,0.0,True,True
S2_2018_m121.09204_38.10557.npz,2018,-121.092043091372,38.10556920638814,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01600000075995922,0.4952000081539154,True,True,True,0.0,True,True
S2_2018_m121.09227_38.18621.npz,2018,-121.09226698165214,38.186205963106985,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012600000016391277,0.5691999793052673,True,True,True,0.0,True,True
S2_2018_m121.09237_38.08498.npz,2018,-121.09237455129157,38.08498214792617,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.006300000008195639,0.4620000123977661,True,True,True,0.0,True,True
S2_2018_m121.09238_38.28600.npz,2018,-121.09237579414209,38.28599723269702,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013299999758601189,0.47824999690055847,True,True,True,0.0,True,True
S2_2018_m121.09280_38.14672.npz,2018,-121.09280425760782,38.14672214380114,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.024399999529123306,0.4659999907016754,True,True,True,0.0,True,True
S2_2018_m121.09286_38.08433.npz,2018,-121.09286097964905,38.084325679249744,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.006300000008195639,0.46239998936653137,True,True,True,0.0,True,True
S2_2018_m121.09302_38.18632.npz,2018,-121.09302480632616,38.18632463437002,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012600000016391277,0.5691999793052673,True,True,True,0.0,True,True
S2_2018_m121.09317_38.06984.npz,2018,-121.09317475317704,38.069842071613564,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.014800000004470348,0.43639999628067017,True,True,True,0.0,True,True
S2_2018_m121.09323_38.14691.npz,2018,-121.09322806439923,38.14691066768902,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.024399999529123306,0.4659999907016754,True,True,True,0.0,True,True
S2_2018_m121.09335_38.11445.npz,2018,-121.09335075550291,38.11444500337435,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01940000057220459,0.5095999836921692,True,True,True,0.0,True,True
S2_2018_m121.09356_38.08224.npz,2018,-121.093563455489,38.082237596698704,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.006300000008195639,0.462799996137619,True,True,True,0.0,True,True
S2_2018_m121.09373_38.18424.npz,2018,-121.09372825151387,38.184236574270734,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012600000016391277,0.5691999793052673,True,True,True,0.0,True,True
S2_2018_m121.09388_38.09853.npz,2018,-121.09388065881402,38.09852983841028,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.027400000020861626,0.5899999737739563,True,True,True,0.0,True,True
S2_2018_m121.09396_38.09158.npz,2018,-121.09396094085973,38.0915813575007,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.027400000020861626,0.5899999737739563,True,True,True,0.0,True,True
S2_2018_m121.09402_38.13482.npz,2018,-121.09402010976103,38.134822425667444,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017100000753998756,0.4059999883174896,True,True,True,0.0,True,True
S2_2018_m121.09426_38.09346.npz,2018,-121.09425849838075,38.09345986925647,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.027400000020861626,0.5899999737739563,True,True,True,0.0,True,True
S2_2018_m121.09438_38.22098.npz,2018,-121.09438231465698,38.22097573840864,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.019750000908970833,0.5034000277519226,True,True,True,0.0,True,True
S2_2018_m121.09454_38.29220.npz,2018,-121.09454469204555,38.29219823039467,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013000000268220901,0.475600004196167,True,True,True,0.0,True,True
S2_2018_m121.09462_38.10475.npz,2018,-121.09462033318886,38.104751982063846,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.028599999845027924,0.45559999346733093,True,True,True,0.0,True,True
S2_2018_m121.09489_38.07475.npz,2018,-121.09488678276217,38.074751288650695,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.006300000008195639,0.462799996137619,True,True,True,0.0,True,True
